full_name,name,brand,category,description,abv,serving_ml,alcohol_ml,alcohol_grams,abv_suspicious,missing_taste_profile,abv_outlier,recommendable,image_url,source_dataset,dataset_version,astringency,body,bitter,sweet,sour,salty,fruits,hoppy,spices,malty
8 Wired Brewing Co. The Big Smoke,The Big Smoke,8 Wired Brewing Co.,Porter - Smoked,"Now what is this? A smoked beer?? It really isn't as crazy as it sounds. 250 years ago virtually all beers were smoked (it's true, Google it!), but with the dawning of the industrial revolution most of the smoke lifted. However, in the German town of Bamberg the flame has quite literally been kept alive and to this day the town’s brewers produce world renowned beers brewed with their own special rauchmalz (beechwood smoked malt).We’ve taken our best porter recipe and added a good measure of that same Bamberg Rauchmalz. The smoke mingles beautifully with the rich, dark roasted chocolate flavours of the porter without being overpowering. Although it pairs extremely well with smoked seafood, barbeques, strong cheeses and hearty stews, its food friendliness isn’t limited to savouries; chocolate and caramel based deserts are great companions too! Trust us; it really isn't as crazy as it sounds.40 IBU",6.2,375.0,23.25,18.344250000000002,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,19,104,60,89,25,0,28,37,118,133
AC Golden Brewing Company Colorado Native Lager,Colorado Native Amber Lager,AC Golden Brewing Company,Lager - American Amber / Red,"Colorado Native is a hand crafted lager made with all Colorado ingredients that celebrates the joys of life in Colorado. Hold up a pint of Colorado Native and drink in its amber lager color, brought to life with pale and caramel malts from our famous Moravian 2-row barley. We painstakingly balanced its malt character against select Chinook, Centennial and Cascade hops to create a perfectly balanced, full-flavored beer. A lager yeast fermentation gives Colorado Native a slight fruitiness, complementing a citrus aroma note from a late kettle hop addition. Everything then comes together to deliver a clean taste and dry finish that is very drinkable by itself, or paired with your favorite foods.",5.5,375.0,20.625,16.273125,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,35,40,71,65,31,1,25,88,8,135
Aarhus Bryghus Black Ice,Black Ice,Aarhus Bryghus,Bock - Eisbock,,8.5,375.0,31.875,25.149375000000003,False,True,False,False,,beer_profile_and_ratings.csv,raw-2026-08-11,0,0,0,0,0,0,0,0,0,0
Aass Brewery Aass Bock,Aass Bock,Aass Brewery,Bock - Traditional,,6.5,375.0,24.375,19.231875000000002,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,5,49,34,81,15,0,21,25,3,76
Abbaye de Leffe S.A. Leffe Blonde,Leffe Blonde,Abbaye de Leffe S.A.,Blonde Ale - Belgian,,6.6,375.0,24.75,19.52775,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,14,23,13,34,11,0,28,16,22,32
Abbaye de Leffe S.A. Leffe Brune / Brown,Leffe Brune / Brown,Abbaye de Leffe S.A.,Brown Ale - Belgian Dark,"Savor the Mystery of the agesThe authentic Belgian Abbey ale: Enjoy this delicious malt forward ale, accentuated with subtle caramel and roasted notes from dark malts",6.5,375.0,24.375,19.231875000000002,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,11,57,26,98,18,0,41,24,31,125
Abbaye de Leffe S.A. Leffe De Noël,Leffe De Noël,Abbaye de Leffe S.A.,Brown Ale - Belgian Dark,,6.6,375.0,24.75,19.52775,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,6,29,18,66,28,0,29,14,45,52
Abbaye de Leffe S.A. Leffe Radieuse,Leffe Radieuse,Abbaye de Leffe S.A.,Strong Ale - Belgian Dark,,8.2,375.0,30.749999999999996,24.26175,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,6,41,17,87,32,0,60,24,19,53
Abbaye de Leffe S.A. Leffe Rossa,Leffe Rossa,Abbaye de Leffe S.A.,Brown Ale - Belgian Dark,Also known as Leffe Bière De Printemps,6.6,375.0,24.75,19.52775,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,12,26,11,49,18,0,18,13,24,48
Abita Brewing Co. Abbey Ale,Abbey Ale,Abita Brewing Co.,Dubbel,"Abbey Ale honors the ancient tradition of monks who perfected the art of brewing beer to support the monastery and their ""liquid bread"". We offer up our support and thank them with a 25¢ donation to St. Joseph's Abbey with every bottle sold of this heavenly brew. Dark amber in color, the aroma of caramel, fruits and cloves invites you to contemplate the creamy head of this ""Dubbel"" or double ale. Abita Abbey Ale is a malty brew, top-fermented and bottle aged to rapturous perfection.32 IBU",8.0,375.0,30.0,23.67,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,4,39,12,82,43,0,54,16,39,78
Abita Brewing Co. Amber,Amber,Abita Brewing Co.,Lager - American Amber / Red,"Amber is a Munich style lager brewed with crystal malt and Perle hops. It has a smooth, malty, slightly caramel flavor and a rich amber color. Abita Amber was the first beer offered by the brewery and continues to be our leading seller.17 IBU",4.5,375.0,16.875,13.314375,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,13,24,24,37,7,0,5,32,2,71
Abita Brewing Co. Andygator,Andygator,Abita Brewing Co.,Bock - Maibock,"Andygator, a creature of the swamp, is a unique high-gravity brew made with pale malt, German lager yeast, and German Perle hops. Unlike other high-gravity brews, Andygator is fermented to a dry finish with a slightly sweet flavor and subtle fruit aroma. Reaching an alcohol strength of 8% by volume, it is a Helles Dopplebock.25 IBU",8.0,375.0,30.0,23.67,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,12,30,29,58,18,0,18,42,5,65
Abita Brewing Co. Golden,Golden,Abita Brewing Co.,Lager - American,"Golden is a crisp, clean continental lager. Just four ingredients are all it takes: American malt, Mt. Hood hops, German lager yeast and pure Abita Springs water. As the name implies, Abita Golden has a brilliant gold color. Its flavor makes this light lager the perfect match for Louisiana Creole food.11 IBU",4.2,375.0,15.75,12.42675,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,27,28,32,23,22,0,23,40,5,66
Abita Brewing Co. Light,Light,Abita Brewing Co.,Lager - Light,"Light is uniquely hand-crafted using 100% all natural ingredients: malted barley, the finest hops, German lager yeast and pristine Abita Springs water. The result is the smoothest, most flavorful light beer you will ever taste.10 IBU",4.0,375.0,15.0,11.835,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,23,26,26,13,8,4,9,38,3,58
Abita Brewing Co. Mardi Gras Bock,Mardi Gras Bock,Abita Brewing Co.,Bock - Maibock,"Abita Bock is brewed with pale, pilsner, and caramel malts and German Perle hops. Our bock is similar to German maibocks with its rich malt flavor and full body. A perfect choice during Carnival season in New Orleans.25 IBU",6.5,375.0,24.375,19.231875000000002,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,16,36,40,64,10,0,14,57,14,131
Abita Brewing Co. Pecan Harvest Ale,Pecan Ale,Abita Brewing Co.,Brown Ale - American,"Formerly Pecan Harvest AlePecan Harvest Ale is made with real Louisiana pecans that have been toasted to perfection. That makes it something really special, because most beers with a nutty flavor or aroma aren’t made with real nuts. The natural oils from the Louisiana pecans give the ale a light pecan finish and aroma.20 IBU",5.2,375.0,19.5,15.3855,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,11,37,19,44,6,0,7,24,4,146
Abita Brewing Co. Purple Haze,Purple Haze,Abita Brewing Co.,Fruit and Field Beer,"Experience the magic of Purple Haze.® Clouds of real raspberries swirl in this tart and tantalizing lager inspired by the good spirits and dark mysteries of New Orleans. Brewed with pilsner and wheat malts along with Vanguard hops, let the scent of berries in the hazy purple brew put a spell on you.",4.2,375.0,15.75,12.42675,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,11,30,11,90,49,1,77,19,1,59
Abita Brewing Co. SOS (Save Our Shore),SOS (Save Our Shore),Abita Brewing Co.,Pilsner - German,"This Abita Beer is a message in a bottle...a distress signal for the troubled waters of our Gulf Coast. For every bottle sold Abita will donate 75¢ to the rescue and restoration of the environment, industry and individuals fighting to survive this disastrous oil spill. This unfiltered Weizen Pils is made with Pilsner and Wheat malts. It is hopped and dry hopped with Sterling and German Perle hops. It has a brilliant gold color, a sweet malt flavor, and a pleasant bitterness and aroma.",7.0,375.0,26.25,20.71125,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,23,42,61,38,36,4,43,101,20,76
Abita Brewing Co. Strawberry Harvest Lager,Strawberry Lager,Abita Brewing Co.,Fruit and Field Beer,"Strawberry Harvest Lager is a wheat beer made with real Louisiana strawberries, picked late in the season when they’re at their sweetest. This brew has earned quite a reputation in a short time, causing the brewery to up their production year after year. When this brew is found, emails and phone calls fly to friends informing them of the store’s location. Strawberry Harvest is a crisp, light lager with just a hint of strawberry sweetness.13 IBU",4.2,375.0,15.75,12.42675,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,10,20,8,30,13,1,69,11,7,24
Abita Brewing Co. Turbodog,Turbodog,Abita Brewing Co.,Brown Ale - English,"Turbodog is a dark brown ale brewed with Willamette hops and a combination of pale, crystal and chocolate malts. This combination gives Turbodog its rich body and color and a sweet chocolate toffee-like flavor. Turbodog began as a specialty ale but has gained a huge loyal following and has become one of our flagship brews.28 IBU",5.6,375.0,21.0,16.569,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,10,53,49,75,8,0,20,34,11,118
"Adnams plc, Sole Bay Brewery Adnams Bitter",Adnams Bitter,"Adnams plc, Sole Bay Brewery",Bitter - English,,4.1,375.0,15.374999999999998,12.130875,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,18,60,95,63,42,0,39,109,13,90
"Adnams plc, Sole Bay Brewery Adnams Broadside",Adnams Broadside,"Adnams plc, Sole Bay Brewery",Strong Ale - English,,6.3,375.0,23.625,18.640125,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,4,46,32,72,28,0,47,34,14,80
"Adnams plc, Sole Bay Brewery Adnams SSB (Suffolk Special Bitter)",Adnams SSB (Suffolk Special Bitter),"Adnams plc, Sole Bay Brewery",Bitter - English Extra Special / Strong Bitter (ESB),,4.5,375.0,16.875,13.314375,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,16,46,65,52,33,0,25,69,6,72
"Adnams plc, Sole Bay Brewery Adnams Southwold Bitter",Adnams Southwold Bitter,"Adnams plc, Sole Bay Brewery",Bitter - English,,4.1,375.0,15.374999999999998,12.130875,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,18,49,94,97,49,2,55,127,9,85
Aktien-Brauerei Kaufbeuren AG Premium Edel (Spezialbier Edel),Premium Edel (Spezialbier Edel),Aktien-Brauerei Kaufbeuren AG,Lager - European / Dortmunder Export,,5.8,375.0,21.75,17.16075,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,24,35,32,51,17,2,20,46,7,78
Aktien-Brauerei Kaufbeuren AG St. Blasius Weizenbock,St. Blasius Weizenbock,Aktien-Brauerei Kaufbeuren AG,Bock - Weizenbock,,7.2,375.0,27.0,21.303,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,14,41,11,115,79,0,90,10,28,87
Aktien-Brauerei Kaufbeuren AG Steingadener Weisse Dunkel,Steingadener Weisse Dunkel,Aktien-Brauerei Kaufbeuren AG,Wheat Beer - Dunkelweizen,,0.0,375.0,0.0,0.0,True,False,False,False,,beer_profile_and_ratings.csv,raw-2026-08-11,27,37,9,58,64,4,62,13,29,74
Alamo Beer Co. Alamo Golden Ale,Alamo Golden Ale,Alamo Beer Co.,Blonde Ale - American,,5.1,375.0,19.124999999999996,15.089624999999998,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,21,21,29,18,5,1,5,44,4,50
Alaskan Brewing Co. Alaskan Amber,Amber,Alaskan Brewing Co.,Altbier,"Richly malty and long on the palate, with just enough hop backing to make this beautiful amber colored ""alt"" style beer notably well balanced.",5.3,375.0,19.875,15.681375000000001,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,13,32,47,74,33,0,33,57,8,111
Alaskan Brewing Co. Alaskan Heritage Coffee Brown Ale,Heritage Coffee Brown Ale,Alaskan Brewing Co.,Brown Ale - English,"English malted oats, English chocolate malt and pale malt roasted with coffee beans at Heritage coffee company; Cascade and Calypso hops, and additions of hand-picked Brazilian coffee.19 IBU",7.0,375.0,26.25,20.71125,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,17,60,111,49,11,0,6,31,1,167
Alaskan Brewing Co. Alaskan Smoked Porter,Smoked Porter,Alaskan Brewing Co.,Porter - Smoked,"The dark, robust body and pronounced smoky flavor of this limited edition beer make it an adventuresome taste experience. Alaskan Smoked Porter is produced in limited ""vintages"" each year on November 1 and unlike most beers, may be aged in the bottle much like fine wine.45 IBU",6.5,375.0,24.375,19.231875000000002,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,15,69,37,51,7,2,10,13,81,80
Alaskan Brewing Co. Alaskan Stout,Stout,Alaskan Brewing Co.,Stout - Oatmeal,"The unique blend of the oats and malts in Alaskan Stout produce a balanced, smooth beer with hints of coffee and caramel.",5.7,375.0,21.375,16.864875,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,8,100,63,81,12,1,16,33,11,159
Alaskan Brewing Co. Alaskan White,White,Alaskan Brewing Co.,Wheat Beer - Witbier,"Alaskan White Ale has a soft, slightly sweet base with the unique spice aroma of coriander and crisp, citrus finish of orange peel. A light and effervescent body combined with the smooth palate creates a complex and delicate beer that is deliciously refreshing in any season.15 IBU",5.3,375.0,19.875,15.681375000000001,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,20,31,20,36,52,0,57,36,25,24
Alaskan Brewing Co. Alaskan Winter Ale,Winter Ale,Alaskan Brewing Co.,Old Ale,"English Olde Ale. Traditionally malty with the warming sensation of alcohol, Olde Ales are brewed in the fall as winter warmers.Brewed in the style of an English Olde Ale, this ale balances the sweet heady aroma of spruce tips with the clean crisp finish of noble hops. Its malty richness is complemented by the warming sensation of alcohol.Alaskan Winter is made from glacier-fed water, Sitka spruce tips and a generous blend of the finest quality European and Pacific Northwest hop varieties and specialty malts. Our water originates in the 1,500-square-mile Juneau Ice Field and from the more than 90 inches of rainfall we receive each year. 22 IBU",6.4,375.0,24.0,18.936,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,21,39,31,66,22,1,31,76,11,77
Alaus Darykla Kalnapilis Kalnapilis 7.30,Kalnapilis 7.30,Alaus Darykla Kalnapilis,Lager - European Strong,Also known as Kalnapilis Bock,7.3,375.0,27.375,21.598875,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,14,27,24,23,15,1,16,33,3,48
Aldaris Porteris,Porteris,Aldaris,Porter - Baltic,,6.8,375.0,25.5,20.119500000000002,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,11,87,37,97,18,2,35,26,8,110
Ale Asylum Ambergeddon,Ambergeddon,Ale Asylum,Red Ale - American Amber / Red,"With a fury of hop flavor and a strong malt backbone, this West-Coast style amber is part ale, part sensory eruption, and All-American. Ambergeddon is brewed with passion and is best enjoyed that way.",6.8,375.0,25.5,20.119500000000002,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,15,34,89,38,28,0,30,85,3,89
Ale Asylum Bedlam,Bedlam,Ale Asylum,IPA - Belgian,Bedlam! A chaotic blend of Citra hops and Belgian yeast give this IPA aromas of summer fruits and a bright hop presence with a plush finish.,7.4,375.0,27.75,21.894750000000002,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,17,32,89,54,84,0,107,91,31,33
Ale Asylum Contorter,Contorter,Ale Asylum,Porter - English,"Our porter is dark in color yet soft on the palate. English chocolate malts give it a complex, rich flavor wrapped in a silky smooth finish.",4.8,375.0,18.0,14.202,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,12,117,65,61,2,0,1,25,5,125
Ale Asylum Mad Town Nut Brown,Madtown Nutbrown,Ale Asylum,Brown Ale - American,A blend of seven unique malts give this brown ale an earthy aroma and a flavor reminiscent of caramel with a slightly creamy finish.,5.5,375.0,20.625,16.273125,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,9,86,24,61,9,0,8,31,1,121
AleSmith Brewing Company AleSmith Evil Dead Red,Evil Dead Red,AleSmith Brewing Company,Red Ale - American Amber / Red,"Each Halloween we release this special concoction to celebrate one of our favorite holidays. Deep blood-red in color, an intense aroma of pine and citrus from an abundance of American hops balances the sweetness and rich, bready flavors of this beer's caramel malts. The result is a fiendishly smooth brew that will make your taste buds scream with delight.This beer pairs excellently with toffee, caramel apples, or your favorite horror flick.",6.66,375.0,24.975,19.705275,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,15,46,59,65,52,0,58,90,2,101
AleSmith Brewing Company AleSmith Grand Cru Ale,Grand Cru,AleSmith Brewing Company,Strong Ale - Belgian Dark,"Bottle conditioned.AleSmith Grand Cru really needs to be tasted to be truly appreciated. Toasty, caramelly flavors, as well as flavors imparted by the Belgian yeast strain, predominate over a tapestry of subtle nuances. Winner of the blue ribbon at the 1999 California State Fair, it is a thing of beauty. It is available in 750 ml. champagne bottles.",10.0,375.0,37.5,29.587500000000002,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,15,57,16,136,37,0,83,14,33,88
AleSmith Brewing Company AleSmith Horny Devil,Horny Devil,AleSmith Brewing Company,Strong Ale - Belgian Pale,,10.0,375.0,37.5,29.587500000000002,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,15,19,9,72,48,1,63,29,37,33
AleSmith Brewing Company AleSmith IPA,IPA,AleSmith Brewing Company,IPA - American,,7.25,375.0,27.1875,21.450937500000002,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,19,47,76,54,65,1,90,114,2,54
AleSmith Brewing Company AleSmith Lil' Devil,Lil' Devil,AleSmith Brewing Company,Pale Ale - Belgian,,5.95,375.0,22.3125,17.6045625,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,21,38,36,57,59,1,80,57,33,47
AleSmith Brewing Company AleSmith My Bloody Valentine,My Bloody Valentine,AleSmith Brewing Company,Red Ale - American Amber / Red,"Don’t spend this Single Awareness Day alone – grab a beer! This red-blooded cousin of Evil Dead Red Ale, our Halloween Brew, is a beautiful crimson color. Notes of caramel, toast, and bittersweet chocolate balance an intense bouquet of floral hop aromas that we know you’ll fall in love with. The finish leaves a pleasant, full-bodied sweetness on the palate that won’t spread angry rumors about you to all your friends like that one time when I was…ohh…uhh…Happy Valentine’s Day!",6.66,375.0,24.975,19.705275,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,10,64,71,86,40,2,56,99,10,94
AleSmith Brewing Company AleSmith Nautical Nut Brown Ale,Nut Brown Ale,AleSmith Brewing Company,Brown Ale - English,"Formerly known as Nautical Nut Brown Ale.AleSmith Nut Brown is a tribute to one of our favorite British styles. Deep mahogany in color, its rich, malt forward flavor profile balances notes of biscuit, mild cocoa and earthy hops. A creamy mouthfeel and full body enhances its drinkability, making Nut Brown an extremely sessionable, ale that embodies our commitment to quality.",5.0,375.0,18.75,14.793750000000001,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,23,74,33,52,11,2,7,33,4,131
AleSmith Brewing Company AleSmith Old Numbskull,Old Numbskull,AleSmith Brewing Company,Barleywine - American,,11.0,375.0,41.25,32.54625,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,14,58,52,117,29,0,54,67,13,122
AleSmith Brewing Company AleSmith Old Numbskull - Barrel Aged,Old Numbskull - Bourbon Barrel-Aged,AleSmith Brewing Company,Barleywine - American,"A West Coast style barleywine. A huge malt profile and a very aggressive dose of premium domestic hops give Old Numbskull a tantalizing complexity, from the aroma to the aftertaste. A year spent in bourbon barrels adds amazing depth and complexity.",11.0,375.0,41.25,32.54625,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,9,57,26,113,20,0,36,23,25,132
AleSmith Brewing Company AleSmith Speedway Stout,Speedway Stout,AleSmith Brewing Company,Stout - American Imperial,"Jet Black, with an off-white head. Starts with a strong coffee and dark chocolate sensation, then fades to a multitude of toasty, roasty and caramel malt flavors. Clean and crisp, full- bodied. Warmth from the high alcohol content lightens up the feel. You won't fool your taste buds - this beer is HUGE!",12.0,375.0,45.0,35.505,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,8,97,62,67,1,0,7,16,14,133
AleSmith Brewing Company AleSmith Speedway Stout - Barrel Aged,Speedway Stout - Bourbon Barrel-Aged,AleSmith Brewing Company,Stout - American Imperial,,12.0,375.0,45.0,35.505,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,10,68,60,70,12,0,11,16,12,147
AleSmith Brewing Company AleSmith Speedway Stout - Vietnamese Coffee,Speedway Stout - Vietnamese Coffee,AleSmith Brewing Company,Stout - American Imperial,"This Vietnamese coffee version of Speedway Stout is and continues to be AleSmith's most popular variation of the ever-growing Speedway Stout collection. Since 2012 we have been adding this blend of four Vietnamese coffees, known in Vietnam as cà phê sa đá, to our popular imperial stout. The coffee beans were slowly roasted at low temperatures and then brewed by AleSmith with a traditional phin-style filter that gently percolates water through the ground coffee. The result is an intensely aromatic and bold tasting coffee that complements the notes of chocolate and roast in this massive stout.",12.0,375.0,45.0,35.505,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,7,141,114,55,4,0,3,21,18,174
AleSmith Brewing Company AleSmith Wee Heavy,Wee Heavy,AleSmith Brewing Company,Scotch Ale / Wee Heavy,"A classic Scotch Ale. Scotch ales are typically sweet and malty, with a very subdued dose of hops– just enough to provide balance. AleSmith Wee Heavy is a wonderful interpretation of this traditional Scotch style.",10.0,375.0,37.5,29.587500000000002,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,6,40,30,98,10,0,34,32,17,100
AleSmith Brewing Company AleSmith Wee Heavy - Barrel Aged,Wee Heavy - Barrel-Aged,AleSmith Brewing Company,Scotch Ale / Wee Heavy,,9.5,375.0,35.625,28.108125,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,8,80,11,93,16,0,30,11,35,171
AleSmith Brewing Company Anvil Ale ESB,Anvil,AleSmith Brewing Company,Bitter - English Extra Special / Strong Bitter (ESB),,5.5,375.0,20.625,16.273125,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,12,56,54,57,20,3,25,68,3,118
Alexander Keith's India Pale Ale,India Pale Ale,Alexander Keith's,Blonde Ale - American,The pride of Nova Scotia.,5.0,375.0,18.75,14.793750000000001,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,6,12,20,12,2,0,2,28,0,23
